Title                   |Description |Tags          |Image |Source Code |Website |Itch.io
Quiz App                |            |              |      |            |        |
Fondue Timer            |            |              |      |            |        |
Marching Band Simulator |            |              |      |            |        |
Virtual Card            |            |              |      |            |        |
Google Photo Slideshow  |            |              |      |            |        |
Around and Around       |            |Game, GameJam |      |            |        |
Dice Casino             |            |Game, GameJam |      |            |        |
Submarine Ocean Cleanup |            |Game, GameJam |      |            |        |
Flappy Porg             |            |Game          |      |            |        |
Deeper and Deeper       |            |Game          |      |            |        |
Phone Operator          |            |Game, GameJam |      |            |        |
Corrupt Space Defender  |            |Game, GameJam |      |            |        |
